Mouse,Fiber,Tissue,MutationLoad,Age
933,1,Skeletal muscle,70.12,10
933,2,Skeletal muscle,,10
933,3,Skeletal muscle,67.52,10
933,4,Skeletal muscle,,10
933,5,Skeletal muscle,80.84,10
933,6,Skeletal muscle,65.21,10
933,7,Skeletal muscle,68.99,10
933,8,Skeletal muscle,80.16,10
933,9,Skeletal muscle,73.41,10
933,10,Skeletal muscle,70.85,10
365,11,Skeletal muscle,74.34,49
365,12,Skeletal muscle,72.50,49
365,13,Skeletal muscle,76.27,49
365,14,Skeletal muscle,70.27,49
365,15,Skeletal muscle,70.99,49
365,16,Skeletal muscle,64.78,49
365,17,Skeletal muscle,76.65,49
365,18,Skeletal muscle,66.32,49
365,19,Skeletal muscle,74.56,49
365,20,Skeletal muscle,70.25,49
365,21,Skeletal muscle,74.00,49
365,22,Skeletal muscle,63.51,49
365,23,Skeletal muscle,77.05,49
365,24,Skeletal muscle,76.13,49
365,25,Skeletal muscle,68.64,49
365,26,Skeletal muscle,77.69,49
365,27,Skeletal muscle,67.46,49
365,28,Skeletal muscle,74.99,49
365,29,Skeletal muscle,78.22,49
365,30,Skeletal muscle,80.73,49
933,31,Skeletal muscle,71.94,10
933,32,Skeletal muscle,68.55,10
933,33,Skeletal muscle,,10
933,34,Skeletal muscle,77.38,10
933,35,Skeletal muscle,74.35,10
933,36,Skeletal muscle,84.24,10
933,37,Skeletal muscle,75.75,10
933,38,Skeletal muscle,73.58,10
933,39,Skeletal muscle,72.91,10
933,40,Skeletal muscle,74.84,10
372,41,Skeletal muscle,72.82,49
372,42,Skeletal muscle,74.65,49
372,43,Skeletal muscle,75.73,49
372,44,Skeletal muscle,74.58,49
372,45,Skeletal muscle,76.02,49
372,46,Skeletal muscle,76.28,49
372,47,Skeletal muscle,25.88,49
372,48,Skeletal muscle,70.25,49
372,49,Skeletal muscle,73.16,49
372,50,Skeletal muscle,73.37,49
372,51,Skeletal muscle,77.55,49
372,52,Skeletal muscle,75.28,49
372,53,Skeletal muscle,73.41,49
372,54,Skeletal muscle,74.21,49
372,55,Skeletal muscle,71.66,49
372,56,Skeletal muscle,79.09,49
372,57,Skeletal muscle,80.63,49
372,58,Skeletal muscle,72.54,49
372,59,Skeletal muscle,71.15,49
372,60,Skeletal muscle,77.62,49
934,61,Skeletal muscle,75.09,10
934,62,Skeletal muscle,74.77,10
934,63,Skeletal muscle,79.12,10
934,64,Skeletal muscle,73.34,10
934,65,Skeletal muscle,71.01,10
934,66,Skeletal muscle,69.28,10
934,67,Skeletal muscle,69.56,10
934,68,Skeletal muscle,,10
934,69,Skeletal muscle,81.74,10
934,70,Skeletal muscle,63.72,10
934,71,Skeletal muscle,76.53,10
934,72,Skeletal muscle,79.06,10
934,73,Skeletal muscle,67.55,10
934,74,Skeletal muscle,76.49,10
934,75,Skeletal muscle,71.78,10
934,76,Skeletal muscle,74.35,10
934,77,Skeletal muscle,78.12,10
934,78,Skeletal muscle,75.37,10
934,79,Skeletal muscle,72.61,10
934,80,Skeletal muscle,79.45,10
949,81,Skeletal muscle,60.85,10
949,82,Skeletal muscle,57.04,10
949,83,Skeletal muscle,60.54,10
949,84,Skeletal muscle,57.08,10
949,85,Skeletal muscle,63.45,10
949,86,Skeletal muscle,61.79,10
949,87,Skeletal muscle,63.89,10
949,88,Skeletal muscle,60.57,10
949,89,Skeletal muscle,59.65,10
949,90,Skeletal muscle,60.64,10
