Mouse,Tissue,MutationLoad,Age
1,Epithelium,74.223,10
1,Epithelium,70.917,10
1,Epithelium,72.433,10
1,Epithelium,80.053,10
1,Epithelium,76.01,10
1,Epithelium,78.473,10
1,Epithelium,49.63,10
1,Epithelium,59.427,10
1,Epithelium,55.497,10
1,Epithelium,71.43,10
1,Muscle,63.47,10
1,Muscle,64.86,10
1,Muscle,64.78,10
1,Muscle,65.81,10
1,Muscle,64.46,10
1,Muscle,64.91,10
1,Muscle,64.14,10
1,Muscle,65.46,10
1,Muscle,65.82,10
1,Muscle,63.78,10
1,EarNotch,68,10
2,Epithelium,66.76,10
2,Epithelium,62.1,10
2,Epithelium,53.53,10
2,Epithelium,77.4,10
2,Epithelium,65.55,10
2,Epithelium,61.21,10
2,Epithelium,69.78,10
2,Epithelium,46.35,10
2,Epithelium,54.92,10
2,Epithelium,52.67,10
2,Muscle,60.34,10
2,Muscle,62.28,10
2,Muscle,59.76,10
2,Muscle,61.08,10
2,Muscle,61.84,10
2,Muscle,62.62,10
2,Muscle,60.88,10
2,Muscle,60.02,10
2,Muscle,60.72,10
2,Muscle,59.66,10
2,EarNotch,65,10
3,Epithelium,63.69,50
3,Epithelium,57.54,50
3,Epithelium,48.86,50
3,Epithelium,65.73,50
3,Epithelium,65.6,50
3,Epithelium,76.46,50
3,Epithelium,32.86,50
3,Epithelium,47.11,50
3,Epithelium,71.74,50
3,Epithelium,17.69,50
3,Muscle,73.21,50
3,Muscle,66.76,50
3,Muscle,71.54,50
3,Muscle,74.63,50
3,Muscle,73.03,50
3,Muscle,73.47,50
3,Muscle,71.22,50
3,Muscle,67.56,50
3,Muscle,73.26,50
3,Muscle,70.99,50
3,EarNotch,69,50
4,Epithelium,52.61,50
4,Epithelium,37.15,50
4,Epithelium,32.89,50
4,Epithelium,51.31,50
4,Epithelium,27.04,50
4,Epithelium,72.09,50
4,Epithelium,6.65,50
4,Epithelium,22.33,50
4,Epithelium,8.05,50
4,Epithelium,16.08,50
4,Epithelium,40.95,50
4,Epithelium,67.44,50
4,Muscle,61.97,50
4,Muscle,57.67,50
4,Muscle,67.06,50
4,Muscle,57.52,50
4,Muscle,58.72,50
4,Muscle,66.01,50
4,Muscle,63.41,50
4,Muscle,60.83,50
4,Muscle,62.44,50
4,Muscle,66.14,50
4,Muscle,64.7,50
4,Muscle,62.37,50
4,Muscle,56.07,50
4,Muscle,58.73,50
4,Muscle,64.96,50
